name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,filename,c,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_16_n500_m50.txt,0.1,19680.204769999997,Inf,602.5764951705933,5635,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_17_n500_m50.txt,0.1,19331.388410000003,Inf,602.1952300071716,4246,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_18_n500_m50.txt,0.1,19460.032570000003,Inf,602.3735120296478,4894,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_19_n500_m50.txt,0.1,19477.32577,Inf,602.7361261844635,5232,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_1_n500_m50.txt,0.1,19485.186970000002,Inf,602.6265871524811,5500,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_20_n500_m50.txt,0.1,19604.84356,19604.84356,3.9944889545440674,336,1,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_2_n500_m50.txt,0.1,19701.534770000002,Inf,601.8183298110962,6079,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_3_n500_m50.txt,0.1,19543.92729,Inf,602.32981300354,5924,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_4_n500_m50.txt,0.1,19596.46838,Inf,602.1908748149872,4920,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_5_n500_m50.txt,0.1,19602.62199,Inf,602.4020111560822,5089,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_6_n500_m50.txt,0.1,19421.363250000002,Inf,602.6024880409241,5293,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_7_n500_m50.txt,0.1,19530.839249999997,Inf,602.406769990921,6214,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_8_n500_m50.txt,0.1,19486.677549999997,Inf,602.0134968757629,6203,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_9_n500_m50.txt,0.1,19221.62878,Inf,601.1067759990692,3735,2,0,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_10_n500_m50.txt,0.1,19703.33991,Inf,601.782735824585,5660,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_11_n500_m50.txt,0.1,19587.12018,Inf,601.644956111908,5064,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_12_n500_m50.txt,0.1,19360.22393,19362.99794,513.6961188316345,2401,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_13_n500_m50.txt,0.1,19366.698519999998,Inf,601.0065598487854,3637,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_14_n500_m50.txt,0.1,19458.564660000004,Inf,601.5697021484375,4319,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_15_n500_m50.txt,0.1,19422.1464,Inf,601.758759021759,5350,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_16_n500_m50.txt,0.1,19680.204769999997,Inf,601.6517770290375,4813,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_17_n500_m50.txt,0.1,19331.388410000003,Inf,600.8159668445587,2707,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_18_n500_m50.txt,0.1,19461.3946,19464.844329999996,600.2087638378143,2418,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_19_n500_m50.txt,0.1,19477.32577,Inf,601.5089409351349,4936,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_1_n500_m50.txt,0.1,19485.186970000002,Inf,601.6064410209656,4977,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_20_n500_m50.txt,0.1,19604.84356,19611.44498,2.0847830772399902,71,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_2_n500_m50.txt,0.1,19701.534770000002,Inf,601.6669900417328,4876,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_3_n500_m50.txt,0.1,19547.206850000002,Inf,601.8148319721222,5458,2,100,50,50
fdp-c-1-thread,true,file_diversity_problem,fcard50,CPLEX,600,16,1,data/instance/GKD-c/GKD-c_4_n500_m50.txt,0.1,19596.46838,19599.669299999998,600.2008550167084,2347,2,100,50,50
