name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,filename,c,rho,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n250_coor.txt,0.1,0,23241.01133,23241.01133,5.493720054626465,43,43,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n25_coor.txt,0.1,0,115.91957,115.91957,0.11174798011779785,21,21,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n500_coor.txt,0.1,0,94219.87892,94219.87891999997,1.2497668266296387,27,27,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n50_coor.txt,0.1,0,865.23525,865.23525,0.4748220443725586,24,24,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n1000_coor.txt,0.1,0,378060.35517,378060.62376000016,4.960453987121582,36,36,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n100_coor.txt,0.1,0,3657.85275,3657.8527499999996,1.043931007385254,28,28,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n2000_coor.txt,0.1,0,1.5098206702999999e6,1.5098206702999992e6,3.909020185470581,27,27,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n250_coor.txt,0.1,0,22830.128709999997,22830.12871,0.6620359420776367,23,23,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n25_coor.txt,0.1,0,125.38528,125.38528,0.09940505027770996,18,18,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n500_coor.txt,0.1,0,95180.97752,95180.97752000001,2.014794111251831,35,35,0,50,50
