name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,n,s,b,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.2,29,1.3176364425650088e7,1.317636442565007e7,0.3744997978210449,4,4,0,451,451
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,10,0.2,30,1.2671451599306e7,1.2671451599305991e7,0.19516491889953613,5,5,0,444,443
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.2,31,2.8437976909424633e7,2.843797690942461e7,0.3286597728729248,5,5,0,666,665
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.2,32,2.8047713786325134e7,2.8047713786325127e7,0.20890188217163086,4,4,0,660,659
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.2,33,2.8583881712013513e7,2.8583881712013546e7,0.19472789764404297,3,3,0,665,663
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.2,34,2.969303188402209e7,2.9693031884022094e7,0.4533729553222656,4,4,0,681,680
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,10,0.2,35,3.0796657250735965e7,3.0796657250735927e7,0.36976099014282227,4,4,0,693,692
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.2,36,5.074524021875812e7,5.074527458539115e7,0.6572768688201904,7,7,0,891,889
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.2,37,5.275375103978799e7,5.27537971891832e7,0.9355020523071289,5,5,0,904,903
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.2,38,5.197991754428031e7,5.197991754428032e7,1.6134729385375977,6,6,0,899,897
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.2,39,5.266726693027601e7,5.266726693027598e7,0.28357386589050293,3,3,0,900,897
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,10,0.2,40,5.087394522506457e7,5.087394522506455e7,0.2174990177154541,3,3,0,890,889
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.2,41,7.89402290987434e7,7.894027896573222e7,0.47179579734802246,5,5,0,1107,1105
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.2,42,7.892828930914623e7,7.892828930914627e7,0.9214458465576172,5,5,0,1110,1108
