name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,num,coords,demand_ratio,cost_ratio,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.1,28,1.273280880589967e8,1.2732808805899653e8,1.554811954498291,3,3,0,1405,1403
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.1,29,1.2658143978578013e8,1.2658143978578015e8,2.886035203933716,5,5,0,1402,1400
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.1,30,1.2408049009513882e8,1.2408049009513874e8,2.1198601722717285,5,5,0,1392,1390
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.1,31,4.483656399560733e7,4.483656399560736e7,1.8968541622161865,3,3,0,701,700
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.1,32,4.445482253018304e7,4.4454822530182995e7,1.0733449459075928,3,3,0,698,697
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.1,33,4.6188665514255695e7,4.6188665514255606e7,0.20057916641235352,3,3,0,709,709
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.1,34,4.616098282500333e7,4.616098282500334e7,0.2936689853668213,3,3,0,711,711
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.1,35,4.581711638674904e7,4.581711638674906e7,1.3366918563842773,3,3,0,708,707
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.1,36,9.736261019546674e7,9.736261019546683e7,1.0533101558685303,3,3,0,1034,1034
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.1,37,9.74287270277982e7,9.742872702779816e7,2.0793509483337402,3,3,0,1034,1033
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.1,38,9.876126331204577e7,9.876126331204577e7,0.4112579822540283,3,3,0,1041,1040
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.1,39,1.0113201888080528e8,1.0113201888080505e8,1.82269287109375,3,3,0,1049,1048
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.1,40,9.784814541280612e7,9.7848145412806e7,2.2141151428222656,3,3,0,1035,1034
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.05,0.1,41,1.7524035282969853e8,1.7524046814082783e8,5.812427043914795,4,4,0,1380,1380
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.05,0.1,42,1.729944353034043e8,1.729944353034046e8,1.3744990825653076,3,3,0,1375,1374
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.05,0.1,43,1.786230410198918e8,1.7862311888242772e8,1.7893998622894287,3,3,0,1395,1395
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.05,0.1,44,1.7074239735924047e8,1.707423973592406e8,2.8390419483184814,4,4,0,1365,1364
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.05,0.1,45,1.7466993438972598e8,1.7466997788840845e8,4.621458053588867,5,5,0,1382,1381
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.1,0.1,46,1.237160587880819e7,1.2371605878808206e7,1.1939671039581299,4,4,0,683,678
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.1,0.1,47,1.2404030547612453e7,1.2404030547612451e7,0.6381521224975586,3,3,0,680,676
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.1,0.1,48,1.25784462916339e7,1.257844629163389e7,2.2463860511779785,7,7,0,685,679
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.1,0.1,49,1.215026418061389e7,1.2150268243027298e7,1.3639490604400635,4,4,0,672,668
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.1,0.1,50,1.2289695549677681e7,1.2289695549677681e7,1.8414127826690674,6,6,0,679,674
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.1,0.1,51,2.97829448031637e7,2.978294480316373e7,1.4795880317687988,4,4,0,1049,1041
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.1,0.1,52,2.904460131230104e7,2.9044601312301002e7,5.663031101226807,7,7,0,1038,1033
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.1,0.1,53,2.764100333439575e7,2.764100333439572e7,1.349621057510376,5,5,0,1013,1005
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.1,0.1,54,2.674701389552127e7,2.6747013895521306e7,1.5625860691070557,5,5,0,999,989
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.1,0.1,55,2.9028845721582595e7,2.902884572158264e7,0.9118049144744873,4,4,0,1031,1024
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.1,0.1,56,4.8947184547998555e7,4.894718454799862e7,1.1029431819915771,4,4,0,1355,1344
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.1,0.1,57,5.014526621616513e7,5.014526621616518e7,1.5027949810028076,4,4,0,1379,1370
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.1,0.1,58,4.979759524587088e7,4.979761349476227e7,2.2772679328918457,5,5,0,1360,1349
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.1,0.1,59,4.757033692082304e7,4.757033692082308e7,1.904979944229126,4,4,0,1328,1318
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.1,0.1,60,5.0571781970693216e7,5.05717819706931e7,1.209601879119873,4,4,0,1375,1366
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.1,0.1,61,2.7749626387764603e7,2.7749639899321124e7,2.0657708644866943,4,4,0,659,658
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.1,0.1,62,2.962903193323253e7,2.962903193323252e7,0.5254018306732178,3,3,0,680,679
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.1,0.1,63,2.937775417088887e7,2.9377754170888864e7,50.26216006278992,6,6,0,676,675
