name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,filename,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_11_n50_b02_m5.txt,36982.3,36982.30000000001,0.022758007049560547,5,5,0,23,23
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_11_n50_b03_m5.txt,47759.0,47759.0,0.14101386070251465,13,13,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_12_n50_b02_m5.txt,36521.1,36521.100000000006,0.005920886993408203,3,3,0,21,21
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_12_n50_b03_m5.txt,67882.1,67882.1,0.05940413475036621,9,9,0,28,28
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_13_n50_b02_m5.txt,17907.8,17907.800000000003,0.027658939361572266,3,3,0,20,20
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_13_n50_b03_m5.txt,32206.300000000007,32206.299999999992,0.025760889053344727,5,5,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_14_n50_b02_m5.txt,21015.8,21015.8,0.007603883743286133,4,4,0,22,22
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_14_n50_b03_m5.txt,28745.300000000003,28745.299999999992,0.01513814926147461,3,3,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_15_n50_b02_m5.txt,41847.700000000004,41847.7,0.023830890655517578,6,6,0,24,24
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_15_n50_b03_m5.txt,49365.3,49365.30000000001,0.010069131851196289,3,3,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_16_n50_b02_m15.txt,21699.7,21699.7,0.009586811065673828,4,4,0,23,23
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_16_n50_b03_m15.txt,27355.9,27355.899999999998,0.027714967727661133,6,6,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_17_n50_b02_m15.txt,12360.8,12360.8,0.016220808029174805,6,6,0,21,21
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_17_n50_b03_m15.txt,20972.899999999998,20972.899999999998,0.007617950439453125,4,4,0,27,27
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_18_n50_b02_m15.txt,29555.899999999998,29555.900000000005,0.04304790496826172,7,7,0,23,23
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_18_n50_b03_m15.txt,40045.1,40045.100000000006,0.0202028751373291,5,5,0,27,27
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_19_n50_b02_m15.txt,36888.8,36888.799999999996,0.008482933044433594,2,2,0,26,26
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_19_n50_b03_m15.txt,33045.7,33045.700000000004,0.08887410163879395,10,10,0,24,24
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_20_n50_b02_m15.txt,22757.9,22757.899999999994,0.02596592903137207,5,5,0,20,20
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_20_n50_b03_m15.txt,46442.6,46442.59999999999,0.005548954010009766,3,3,0,28,28
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_41_n150_b02_m15.txt,409849.60000000003,409849.59999999986,0.07214212417602539,6,6,0,67,67
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_41_n150_b03_m15.txt,585019.5,585019.5,0.011718988418579102,3,3,0,81,81
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_42_n150_b02_m15.txt,204811.6000000001,204811.59999999995,0.23241114616394043,10,10,0,63,62
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_42_n150_b03_m15.txt,303941.39999999997,303941.4000000001,0.15220093727111816,9,9,0,75,75
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_43_n150_b02_m15.txt,184548.2,184548.19999999995,0.031939029693603516,4,4,0,63,63
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_43_n150_b03_m15.txt,278268.3,278268.3000000001,0.039224863052368164,5,5,0,78,78
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_44_n150_b02_m15.txt,231014.90000000002,231014.9,0.021678924560546875,3,3,0,62,62
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_44_n150_b03_m15.txt,391064.50000000006,391064.49999999994,0.024188995361328125,4,4,0,80,80
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_45_n150_b02_m15.txt,268675.60000000003,268675.5999999999,0.05768895149230957,6,6,0,65,65
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_45_n150_b03_m15.txt,414013.7,414013.70000000024,0.015116214752197266,3,3,0,81,81
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_46_n150_b02_m45.txt,323408.9,323408.89999999997,0.11160111427307129,9,9,0,68,68
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_46_n150_b03_m45.txt,449983.1,449983.1000000002,0.013372182846069336,3,3,0,80,80
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_47_n150_b02_m45.txt,389015.6,389015.6000000001,0.02113795280456543,4,4,0,66,66
fcdp-1-thread,true,file_capacitated_diversity_problem,repoa,CPLEX,600,16,1,data/instance/CDP (Const.)/GKD-b_47_n150_b03_m45.txt,557837.2000000001,557837.1999999998,0.014841079711914062,3,3,0,79,79
